"TotLoop";"LoopNormInter";"TotCollateralETH";"OldcollateralETH";"OldCollateralUSD";"TotCollateralUSD";"NewCreditUSD";"NewCollateralETH";"TotCreditUSD";"NetRevenueUSD";"NewKeet10pctUSD";"TotKeet10pctUSD";"OraclePrice";"Leverage";"CollLoanRatio";"LoanColl";"LiquidPreisMaxMint";"EndLiquidPriceUSD";"StartSoftLiquidUSD"
"0";"100";"            8.99";"            5.00";"           9?025";"          16?221";"       7?995";"            3.99";"       7?995";"      9?025";"            800";"            800";"      1?805";"     1.8";"        203%";"     49%";"             1?806";"            1?005";"             1?046"
"1";"    1";"           12.17";"            8.99";"          16?221";"          21?958";"       6?375";"            3.18";"      14?370";"      9?025";"            637";"          1?437";"      1?805";"     2.4";"        153%";"     65%";"             1?806";"            1?334";"             1?389"
"2";"    2";"           14.70";"           12.17";"          21?958";"          26?532";"       5?083";"            2.53";"      19?452";"      9?025";"            508";"          1?945";"      1?805";"     2.9";"        136%";"     73%";"             1?806";"            1?495";"             1?556"
"3";"    3";"           16.72";"           14.70";"          26?532";"          30?179";"       4?052";"            2.02";"      23?505";"      9?025";"            405";"          2?350";"      1?805";"     3.3";"        128%";"     78%";"             1?806";"            1?588";"             1?653"
"4";"    4";"           18.33";"           16.72";"          30?179";"          33?087";"       3?231";"            1.61";"      26?736";"      9?025";"            323";"          2?674";"      1?805";"     3.7";"        124%";"     81%";"             1?806";"            1?647";"             1?715"
"5";"    5";"           19.62";"           18.33";"          33?087";"          35?406";"       2?576";"            1.28";"      29?312";"      9?025";"            258";"          2?931";"      1?805";"     3.9";"        121%";"     83%";"             1?806";"            1?688";"             1?757"
"6";"    6";"           20.64";"           19.62";"          35?406";"          37?254";"       2?054";"            1.02";"      31?366";"      9?025";"            205";"          3?137";"      1?805";"     4.1";"        119%";"     84%";"             1?806";"            1?716";"             1?787"
"7";"    7";"           21.46";"           20.64";"          37?254";"          38?728";"       1?638";"            0.82";"      33?003";"      9?025";"            164";"          3?300";"      1?805";"     4.3";"        117%";"     85%";"             1?806";"            1?737";"             1?808"
"8";"    8";"           22.11";"           21.46";"          38?728";"          39?903";"       1?306";"            0.65";"      34?309";"      9?025";"            131";"          3?431";"      1?805";"     4.4";"        116%";"     86%";"             1?806";"            1?753";"             1?825"
"9";"    9";"           22.63";"           22.11";"          39?903";"          40?840";"       1?041";"            0.52";"      35?350";"      9?025";"            104";"          3?535";"      1?805";"     4.5";"        116%";"     87%";"             1?806";"            1?765";"             1?837"
"10";"   10";"           23.04";"           22.63";"          40?840";"          41?587";"         830";"            0.41";"      36?180";"      9?025";"             83";"          3?618";"      1?805";"     4.6";"        115%";"     87%";"             1?806";"            1?774";"             1?846"
"11";"   11";"           23.37";"           23.04";"          41?587";"          42?183";"         662";"            0.33";"      36?842";"      9?025";"             66";"          3?684";"      1?805";"     4.7";"        114%";"     87%";"             1?806";"            1?780";"             1?853"
"12";"   12";"           23.63";"           23.37";"          42?183";"          42?658";"         528";"            0.26";"      37?370";"      9?025";"             53";"          3?737";"      1?805";"     4.7";"        114%";"     88%";"             1?806";"            1?786";"             1?859"
"13";"   13";"           23.84";"           23.63";"          42?658";"          43?036";"         421";"            0.21";"      37?790";"      9?025";"             42";"          3?779";"      1?805";"     4.8";"        114%";"     88%";"             1?806";"            1?790";"             1?863"
"14";"   14";"           24.01";"           23.84";"          43?036";"          43?338";"         335";"            0.17";"      38?126";"      9?025";"             34";"          3?813";"      1?805";"     4.8";"        114%";"     88%";"             1?806";"            1?793";"             1?867"
"15";"   15";"           24.14";"           24.01";"          43?338";"          43?579";"         267";"            0.13";"      38?393";"      9?025";"             27";"          3?839";"      1?805";"     4.8";"        114%";"     88%";"             1?806";"            1?796";"             1?870"
"16";"   16";"           24.25";"           24.14";"          43?579";"          43?771";"         213";"            0.11";"      38?606";"      9?025";"             21";"          3?861";"      1?805";"     4.8";"        113%";"     88%";"             1?806";"            1?798";"             1?872"
"17";"   17";"           24.33";"           24.25";"          43?771";"          43?924";"         170";"            0.08";"      38?776";"      9?025";"             17";"          3?878";"      1?805";"     4.9";"        113%";"     88%";"             1?806";"            1?800";"             1?873"
"18";"   18";"           24.40";"           24.33";"          43?924";"          44?046";"         136";"            0.07";"      38?912";"      9?025";"             14";"          3?891";"      1?805";"     4.9";"        113%";"     88%";"             1?806";"            1?801";"             1?875"
"19";"   19";"           24.46";"           24.40";"          44?046";"          44?143";"         108";"            0.05";"      39?020";"      9?025";"             11";"          3?902";"      1?805";"     4.9";"        113%";"     88%";"             1?806";"            1?802";"             1?876"
"20";"   20";"           24.50";"           24.46";"          44?143";"          44?221";"          86";"            0.04";"      39?106";"      9?025";"              9";"          3?911";"      1?805";"     4.9";"        113%";"     88%";"             1?806";"            1?803";"             1?877"
"21";"   21";"           24.53";"           24.50";"          44?221";"          44?282";"          69";"            0.03";"      39?175";"      9?025";"              7";"          3?917";"      1?805";"     4.9";"        113%";"     88%";"             1?806";"            1?803";"             1?877"
"22";"   22";"           24.56";"           24.53";"          44?282";"          44?332";"          55";"            0.03";"      39?230";"      9?025";"              5";"          3?923";"      1?805";"     4.9";"        113%";"     88%";"             1?806";"            1?804";"             1?878"
"23";"   23";"           24.58";"           24.56";"          44?332";"          44?371";"          44";"            0.02";"      39?273";"      9?025";"              4";"          3?927";"      1?805";"     4.9";"        113%";"     89%";"             1?806";"            1?804";"             1?878"
